,key_word,frequency
0,massage,208
1,body,175
2,available,128
3,text,100
4,sensual,92
5,min,92
6,please,91
7,come,82
8,private,80
9,call,77
10,full,73
11,touch,66
12,like,65
13,time,58
14,experience,55
15,hour,55
16,shower,52
17,office,51
18,see,48
19,hands,48
20,let,48
21,nude,47
22,mutual,43
23,get,42
24,love,42
25,pictures,42
26,slides,41
27,real,41
28,looking,41
29,independent,41
30,hot,39
31,relaxing,38
32,incall,38
33,service,38
34,soft,37
35,offer,37
36,feel,35
37,fs,35
38,discreet,35
39,appointment,35
40,location,34
41,best,34
42,deep,34
43,sexy,34
44,clean,33
45,cash,33
46,fetish,32
47,hhr,31
48,relax,31
49,spa,31
50,years,31
51,name,30
52,give,29
53,sweet,29
54,hello,29
55,friendly,28
56,enjoy,28
57,back,28
58,stress,27
59,outcall,27
60,great,27
61,ask,26
62,forward,26
63,mins,26
64,free,26
65,hi,26
66,take,25
67,sessions,25
68,prostate,24
69,upscale,24
70,leave,24
71,hours,24
72,make,23
73,setting,23
74,escort,23
75,gentlemen,22
76,book,22
77,parking,21
78,work,21
79,provide,21
80,calls,21
81,n,21
82,tissue,21
83,place,20
84,fun,20
85,also,20
86,warm,20
87,professional,20
88,suite,20
89,fbsm,20
90,light,20
91,session,20
92,exotic,19
93,located,19
94,beautiful,19
95,check,19
96,availability,19
97,clients,19
98,look,19
99,want,19
